cod_provin,provincia,cod_canton,canton,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020
1,San José,113,Tibás,16,16,15,13,11,11,11,11,11,10,9,8,9,9,9,9,8,8,8,8,8,8,8,6,6,7,6,6,6,7,7,7,9,7,6,6,6,4,4,4,3,3,3,3,3,1,1,1,1,1,0,1,2,2,2,3,4,8,8,10,10,11,11,13,14,14,13,19,20,22,24,29,32,37,47,55,64,78,82,94
1,San José,116,Turrubares,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,6,6,6
1,San José,111,Vázquez de Coronado,5,5,6,6,6,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,3,4,4,3,3,2,2,2,4,4,5,5,5,6,5,6,6,6,6,7,7,6,4,5,5,5,6,8,9,9,9,11,11,16,17,20,22,20,22,24,26,29,30,31,30,39,47,59
2,Alajuela,201,Alajuela,37,31,31,31,30,27,25,28,29,28,28,26,26,25,25,24,23,22,18,17,15,15,13,13,13,10,11,11,11,12,10,10,11,10,10,9,9,10,10,10,8,8,9,9,11,19,19,20,20,22,25,28,27,27,28,29,31,31,31,40,45,47,51,54,56,77,83,92,95,105,113,129,148,169,185,215,221,237,257,301
2,Alajuela,205,Atenas,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,0,0,0,3,3,3,3,3,3,3,4,5,6,6,6,6,6,7,7,7,7,7,9,11
2,Alajuela,203,Grecia,14,14,14,14,14,13,12,12,11,11,11,10,9,6,5,5,5,4,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,6,6,9,9,8,9,8,12,13,14,14,16,16,16,18,20,24
2,Alajuela,215,Guatuso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,6,7,14,14,16,20,40,49,48,57,57,58,67,67,70,70,79,73,75,62,57
2,Alajuela,214,Los Chiles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4,9,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,15,37,46,46,47,47,47,47,58,64,67,68,68,69,82,89,65,66,64,66,65,62,62,60
2,Alajuela,206,Naranjo,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,5,5,5,5,5,5,5,5,5,4,5,5,5,6,6,6,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,4,4,4,4,2,2,1,1,1,1,1,0,0,1,3,3,3,5,7,7,12,12,12,12,14,16,16
2,Alajuela,209,Orotina,6,6,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,4,4
2,Alajuela,207,Palmares,11,10,9,5,4,3,3,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,2,2,2,4,6,6,15,16,20,24,24,24,26
2,Alajuela,208,Poás,5,5,5,5,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,5,6,7,8,8,8,8,8,9,9,10,10,10,10,4,4,4,6,6,6,6,7,7,8
2,Alajuela,216,Río Cuarto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
